profileID,respID,qID,altID,obsID,Certification,Origin,Processing,image
16,1,1,1,1,Rainforestry Alliance,Sul de Minas,Lavado,agroforestry.jpg
11,1,1,2,1,Fair trade,Brasil Central,Lavado,fairtrade.jpg
10,1,1,3,1,Orgânico,Brasil Central,Lavado,organic.jpg
5,1,2,1,2,Especial,Sul de Minas,Natural,special.jpg
7,1,2,2,2,Fair trade,Sul de Minas,Natural,fairtrade.jpg
10,1,2,3,2,Orgânico,Brasil Central,Lavado,organic.jpg
10,1,3,1,3,Orgânico,Brasil Central,Lavado,organic.jpg
2,1,3,2,3,Orgânico,Brasil Central,Natural,organic.jpg
16,1,3,3,3,Rainforestry Alliance,Sul de Minas,Lavado,agroforestry.jpg
10,1,4,1,4,Orgânico,Brasil Central,Lavado,organic.jpg
12,1,4,2,4,Rainforestry Alliance,Brasil Central,Lavado,agroforestry.jpg
4,1,4,3,4,Rainforestry Alliance,Brasil Central,Natural,agroforestry.jpg
8,1,5,1,5,Rainforestry Alliance,Sul de Minas,Natural,agroforestry.jpg
11,1,5,2,5,Fair trade,Brasil Central,Lavado,fairtrade.jpg
10,1,5,3,5,Orgânico,Brasil Central,Lavado,organic.jpg
3,1,6,1,6,Fair trade,Brasil Central,Natural,fairtrade.jpg
14,1,6,2,6,Orgânico,Sul de Minas,Lavado,organic.jpg
1,1,6,3,6,Especial,Brasil Central,Natural,special.jpg
13,1,7,1,7,Especial,Sul de Minas,Lavado,special.jpg
7,1,7,2,7,Fair trade,Sul de Minas,Natural,fairtrade.jpg
8,1,7,3,7,Rainforestry Alliance,Sul de Minas,Natural,agroforestry.jpg
9,1,8,1,8,Especial,Brasil Central,Lavado,special.jpg
12,1,8,2,8,Rainforestry Alliance,Brasil Central,Lavado,agroforestry.jpg
6,1,8,3,8,Orgânico,Sul de Minas,Natural,organic.jpg
5,1,9,1,9,Especial,Sul de Minas,Natural,special.jpg
1,1,9,2,9,Especial,Brasil Central,Natural,special.jpg
