profileID;respID;qID;altID;obsID;type;processing;origin;image
14;1;1;1;1;Organic;Washed;Colombia Cauca;organic.jpg
11;1;1;2;1;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
4;1;1;3;1;Agroforestry;Natural;Brazil Central Plateau;agroforestry.jpg
4;1;2;1;2;Agroforestry;Natural;Brazil Central Plateau;agroforestry.jpg
15;1;2;2;2;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
8;1;2;3;2;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
2;1;3;1;3;Organic;Natural;Brazil Central Plateau;organic.jpg
12;1;3;2;3;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
6;1;3;3;3;Organic;Washed;Brazil Central Plateau;organic.jpg
10;1;4;1;4;Organic;Natural;Colombia Cauca;organic.jpg
16;1;4;2;4;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
8;1;4;3;4;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
2;1;5;1;5;Organic;Natural;Brazil Central Plateau;organic.jpg
9;1;5;2;5;Special;Natural;Colombia Cauca;special.jpg
15;1;5;3;5;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
12;1;6;1;6;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
10;1;6;2;6;Organic;Natural;Colombia Cauca;organic.jpg
1;1;6;3;6;Special;Natural;Brazil Central Plateau;special.jpg
2;1;7;1;7;Organic;Natural;Brazil Central Plateau;organic.jpg
9;1;7;2;7;Special;Natural;Colombia Cauca;special.jpg
7;1;7;3;7;Fair Trade;Washed;Brazil Central Plateau;fairtrade.jpg
8;1;8;1;8;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
16;1;8;2;8;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
9;1;8;3;8;Special;Natural;Colombia Cauca;special.jpg
8;1;9;1;9;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
3;1;9;2;9;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
4;1;9;3;9;Agroforestry;Natural;Brazil Central Plateau;agroforestry.jpg
14;1;10;1;10;Organic;Washed;Colombia Cauca;organic.jpg
5;1;10;2;10;Special;Washed;Brazil Central Plateau;special.jpg
12;1;10;3;10;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
12;1;11;1;11;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
10;1;11;2;11;Organic;Natural;Colombia Cauca;organic.jpg
6;1;11;3;11;Organic;Washed;Brazil Central Plateau;organic.jpg
10;1;12;1;12;Organic;Natural;Colombia Cauca;organic.jpg
8;1;12;2;12;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
