profileID,respID,qID,altID,obsID,Certification,Origin,Processing,image
9,1,1,1,1,Especial,Planalto Central,Lavado,special.jpg
16,1,1,2,1,Rainforestry Alliance,Cerrado Mineiro,Lavado,agroforestry.jpg
5,1,1,3,1,Especial,Cerrado Mineiro,Natural,special.jpg
7,1,2,1,2,Fair trade,Cerrado Mineiro,Natural,fairtrade.jpg
16,1,2,2,2,Rainforestry Alliance,Cerrado Mineiro,Lavado,agroforestry.jpg
14,1,2,3,2,Organico,Cerrado Mineiro,Lavado,organic.jpg
1,1,3,1,3,Especial,Planalto Central,Natural,special.jpg
10,1,3,2,3,Organico,Planalto Central,Lavado,organic.jpg
16,1,3,3,3,Rainforestry Alliance,Cerrado Mineiro,Lavado,agroforestry.jpg
7,1,4,1,4,Fair trade,Cerrado Mineiro,Natural,fairtrade.jpg
8,1,4,2,4,Rainforestry Alliance,Cerrado Mineiro,Natural,agroforestry.jpg
1,1,4,3,4,Especial,Planalto Central,Natural,special.jpg
4,1,5,1,5,Rainforestry Alliance,Planalto Central,Natural,agroforestry.jpg
1,1,5,2,5,Especial,Planalto Central,Natural,special.jpg
6,1,5,3,5,Organico,Cerrado Mineiro,Natural,organic.jpg
2,1,6,1,6,Organico,Planalto Central,Natural,organic.jpg
1,1,6,2,6,Especial,Planalto Central,Natural,special.jpg
11,1,6,3,6,Fair trade,Planalto Central,Lavado,fairtrade.jpg
7,1,7,1,7,Fair trade,Cerrado Mineiro,Natural,fairtrade.jpg
9,1,7,2,7,Especial,Planalto Central,Lavado,special.jpg
16,1,7,3,7,Rainforestry Alliance,Cerrado Mineiro,Lavado,agroforestry.jpg
1,1,8,1,8,Especial,Planalto Central,Natural,special.jpg
10,1,8,2,8,Organico,Planalto Central,Lavado,organic.jpg
5,1,8,3,8,Especial,Cerrado Mineiro,Natural,special.jpg
16,1,9,1,9,Rainforestry Alliance,Cerrado Mineiro,Lavado,agroforestry.jpg
14,1,9,2,9,Organico,Cerrado Mineiro,Lavado,organic.jpg
4,1,9,3,9,Rainforestry Alliance,Planalto Central,Natural,agroforestry.jpg
2,1,10,1,10,Organico,Planalto Central,Natural,organic.jpg
15,1,10,2,10,Fair trade,Cerrado Mineiro,Lavado,fairtrade.jpg
8,1,10,3,10,Rainforestry Alliance,Cerrado Mineiro,Natural,agroforestry.jpg
15,1,11,1,11,Fair trade,Cerrado Mineiro,Lavado,fairtrade.jpg
4,1,11,2,11,Rainforestry Alliance,Planalto Central,Natural,agroforestry.jpg
13,1,11,3,11,Especial,Cerrado Mineiro,Lavado,special.jpg
4,1,12,1,12,Rainforestry Alliance,Planalto Central,Natural,agroforestry.jpg
16,1,12,2,12,Rainforestry Alliance,Cerrado Mineiro,Lavado,agroforestry.jpg
3,1,12,3,12,Fair trade,Planalto Central,Natural,fairtrade.jpg
14,1,13,1,13,Organico,Cerrado Mineiro,Lavado,organic.jpg
3,1,13,2,13,Fair trade,Planalto Central,Natural,fairtrade.jpg
12,1,13,3,13,Rainforestry Alliance,Planalto Central,Lavado,agroforestry.jpg
1,1,14,1,14,Especial,Planalto Central,Natural,special.jpg
12,1,14,2,14,Rainforestry Alliance,Planalto Central,Lavado,agroforestry.jpg
10,1,14,3,14,Organico,Planalto Central,Lavado,organic.jpg
15,1,15,1,15,Fair trade,Cerrado Mineiro,Lavado,fairtrade.jpg
5,1,15,2,15,Especial,Cerrado Mineiro,Natural,special.jpg
8,1,15,3,15,Rainforestry Alliance,Cerrado Mineiro,Natural,agroforestry.jpg
9,1,16,1,16,Especial,Planalto Central,Lavado,special.jpg
6,1,16,2,16,Organico,Cerrado Mineiro,Natural,organic.jpg
14,1,16,3,16,Organico,Cerrado Mineiro,Lavado,organic.jpg
2,2,1,1,17,Organico,Planalto Central,Natural,organic.jpg
12,2,1,2,17,Rainforestry Alliance,Planalto Central,Lavado,agroforestry.jpg
15,2,1,3,17,Fair trade,Cerrado Mineiro,Lavado,fairtrade.jpg
11,2,2,1,18,Fair trade,Planalto Central,Lavado,fairtrade.jpg
6,2,2,2,18,Organico,Cerrado Mineiro,Natural,organic.jpg
12,2,2,3,18,Rainforestry Alliance,Planalto Central,Lavado,agroforestry.jpg
4,2,3,1,19,Rainforestry Alliance,Planalto Central,Natural,agroforestry.jpg
10,2,3,2,19,Organico,Planalto Central,Lavado,organic.jpg
5,2,3,3,19,Especial,Cerrado Mineiro,Natural,special.jpg
9,2,4,1,20,Especial,Planalto Central,Lavado,special.jpg
10,2,4,2,20,Organico,Planalto Central,Lavado,organic.jpg
15,2,4,3,20,Fair trade,Cerrado Mineiro,Lavado,fairtrade.jpg
9,2,5,1,21,Especial,Planalto Central,Lavado,special.jpg
10,2,5,2,21,Organico,Planalto Central,Lavado,organic.jpg
7,2,5,3,21,Fair trade,Cerrado Mineiro,Natural,fairtrade.jpg
15,2,6,1,22,Fair trade,Cerrado Mineiro,Lavado,fairtrade.jpg
14,2,6,2,22,Organico,Cerrado Mineiro,Lavado,organic.jpg
6,2,6,3,22,Organico,Cerrado Mineiro,Natural,organic.jpg
3,2,7,1,23,Fair trade,Planalto Central,Natural,fairtrade.jpg
2,2,7,2,23,Organico,Planalto Central,Natural,organic.jpg
15,2,7,3,23,Fair trade,Cerrado Mineiro,Lavado,fairtrade.jpg
4,2,8,1,24,Rainforestry Alliance,Planalto Central,Natural,agroforestry.jpg
6,2,8,2,24,Organico,Cerrado Mineiro,Natural,organic.jpg
15,2,8,3,24,Fair trade,Cerrado Mineiro,Lavado,fairtrade.jpg
13,2,9,1,25,Especial,Cerrado Mineiro,Lavado,special.jpg
8,2,9,2,25,Rainforestry Alliance,Cerrado Mineiro,Natural,agroforestry.jpg
3,2,9,3,25,Fair trade,Planalto Central,Natural,fairtrade.jpg
13,2,10,1,26,Especial,Cerrado Mineiro,Lavado,special.jpg
12,2,10,2,26,Rainforestry Alliance,Planalto Central,Lavado,agroforestry.jpg
6,2,10,3,26,Organico,Cerrado Mineiro,Natural,organic.jpg
7,2,11,1,27,Fair trade,Cerrado Mineiro,Natural,fairtrade.jpg
